n,m,heuristica,alfa,tempo_medio,media_cmax,tamanho_n,tamanho_m
32,10,monotona,,0.0,611.8,pequeno,pequeno
32,10,temperasimulada,0.80,4.3e-05,368.1,pequeno,pequeno
32,10,temperasimulada,0.85,6.1e-05,309.4,pequeno,pequeno
32,10,temperasimulada,0.90,0.000101,277.7,pequeno,pequeno
32,10,temperasimulada,0.95,0.0002,256.5,pequeno,pequeno
32,10,temperasimulada,0.99,0.001018,218.9,pequeno,pequeno
89,20,monotona,,0.0,1585.1,pequeno,medio
89,20,temperasimulada,0.80,8.3e-05,456.3,pequeno,medio
89,20,temperasimulada,0.85,0.000112,449.2,pequeno,medio
89,20,temperasimulada,0.90,0.00017,417.9,pequeno,medio
89,20,temperasimulada,0.95,0.000359,353.6,pequeno,medio
89,20,temperasimulada,0.99,0.001706,356.8,pequeno,medio
100,10,monotona,,0.0,1890.7,pequeno,pequeno
100,10,temperasimulada,0.80,5.9e-05,612.3,pequeno,pequeno
100,10,temperasimulada,0.85,8e-05,587.3,pequeno,pequeno
100,10,temperasimulada,0.90,0.000115,567.7,pequeno,pequeno
100,10,temperasimulada,0.95,0.000237,590.5,pequeno,pequeno
100,10,temperasimulada,0.99,0.001067,558,pequeno,pequeno
354,50,monotona,,0.0,7393.2,medio,grande
354,50,temperasimulada,0.80,0.000233,630,medio,grande
354,50,temperasimulada,0.85,0.000322,586.8,medio,grande
354,50,temperasimulada,0.90,0.000469,682.3,medio,grande
354,50,temperasimulada,0.95,0.000965,610.6,medio,grande
354,50,temperasimulada,0.99,0.005022,523.3,medio,grande
400,20,monotona,,0.0,8134.7,medio,medio
400,20,temperasimulada,0.80,9.8e-05,1135.3,medio,medio
400,20,temperasimulada,0.85,0.000139,1122.6,medio,medio
400,20,temperasimulada,0.90,0.0002,1146.4,medio,medio
400,20,temperasimulada,0.95,0.000399,1093.1,medio,medio
400,20,temperasimulada,0.99,0.00206,1078.6,medio,medio
2500,50,monotona,,1.7e-05,47602.9,grande,grande
2500,50,temperasimulada,0.80,0.000722,2785.5,grande,grande
2500,50,temperasimulada,0.85,0.000954,2778.5,grande,grande
2500,50,temperasimulada,0.90,0.001435,2700.5,grande,grande
2500,50,temperasimulada,0.95,0.002986,2673.4,grande,grande
2500,50,temperasimulada,0.99,0.015227,2637.5,grande,grande
