n,m,alfa,media_diff_pct_cmax,media_diff_pct_tempo,wins_MLR_qualidade,wins_SA_qualidade,wins_MLR_tempo,wins_SA_tempo
32,10,0.80,-0.7,0.0,3,7,10,0
32,10,0.85,-24.92,0.0,2,8,10,0
32,10,0.90,-28.85,0.0,3,7,10,0
32,10,0.95,-31.02,0.0,3,7,10,0
32,10,0.99,-41.53,0.0,1,9,10,0
89,20,0.80,-49.43,0.0,1,9,10,0
89,20,0.85,-40.58,0.0,1,9,10,0
89,20,0.90,-59.13,0.0,1,9,10,0
89,20,0.95,-62.79,0.0,1,9,10,0
89,20,0.99,-54.19,0.0,1,9,10,0
100,10,0.80,-5.85,0.0,1,9,10,0
100,10,0.85,-7.38,0.0,1,9,10,0
100,10,0.90,-14.53,0.0,1,9,10,0
100,10,0.95,-10.1,0.0,1,9,10,0
100,10,0.99,-11.78,0.0,1,9,10,0
354,50,0.80,-80.3,0.0,1,9,10,0
354,50,0.85,-80.84,0.0,1,9,10,0
354,50,0.90,-81.06,0.0,1,9,10,0
354,50,0.95,-80.2,0.0,1,9,10,0
354,50,0.99,-85.78,0.0,0,10,10,0
400,20,0.80,-77.45,0.0,0,10,10,0
400,20,0.85,-77.84,0.0,0,10,10,0
400,20,0.90,-77.38,0.0,0,10,10,0
400,20,0.95,-77.88,0.0,0,10,10,0
400,20,0.99,-78.11,0.0,0,10,10,0
2500,50,0.80,-92.1,4855.0,0,10,10,0
2500,50,0.85,-92.1,6453.33,0,10,10,0
2500,50,0.90,-92.34,9680.0,0,10,10,0
2500,50,0.95,-92.37,20311.67,0,10,10,0
2500,50,0.99,-92.51,103795.0,0,10,10,0
